fold,val_losses,val_accuracies
0,"[tensor(0.0698), tensor(0.0633)]","[0.6939252336448598, 0.7441588785046729]"
1,"[tensor(0.0289), tensor(0.0217)]","[0.8142523364485982, 0.8154205607476636]"
2,"[tensor(0.0368), tensor(0.0834)]","[0.8280701754385965, 0.8304093567251462]"
3,"[tensor(0.0599), tensor(0.0215)]","[0.8280701754385965, 0.8374269005847953]"
4,"[tensor(0.0319), tensor(0.0506)]","[0.8701754385964913, 0.8690058479532163]"
