fold,val_losses,val_accuracies
0,"[tensor(0.0653), tensor(0.0670)]","[0.7021028037383178, 0.780373831775701]"
1,"[tensor(0.0532), tensor(0.0616)]","[0.6705607476635514, 0.8107476635514018]"
2,"[tensor(0.0168), tensor(0.0252)]","[0.8374269005847953, 0.8292397660818713]"
3,"[tensor(0.0679), tensor(0.0232)]","[0.8128654970760234, 0.7859649122807018]"
4,"[tensor(0.0305), tensor(0.0341)]","[0.8175438596491228, 0.8502923976608188]"
